,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
count,36654.0,36654.0,36654.0,36654.0,36654.0,36654.0,36654.0,36654.0,36654.0,36654.0,36654.0,36654.0,36654.0
mean,0.0430863043744009,-0.024103621994523036,0.15565145350484513,0.9865768057995328,-2.2202651825175973e-05,3.036127025699788e-05,-2.6378021498335787e-06,-0.6015826103563048,-0.7648201014896056,-9.813524035575925,4.690558165548099e-05,-1.1766139575489713e-05,3.3551524799476185e-05
std,0.00015173562577922202,0.0011610459676667589,0.00021075034174116081,4.0420759927989496e-05,0.0009537298215264585,0.0009445504615651826,0.0010672894264780323,0.03382341806224973,0.015197158929127517,0.020553859597937967,2.755820981869259e-07,4.136140624268157e-07,3.037396164302276e-07
min,0.0427647430847724,-0.0266099947866439,0.1549383400830563,0.9864421148427428,-0.021623,-0.01858,-0.003437,-0.731,-0.848,-9.957,4.606e-05,-1.305e-05,3.12e-05
25%,0.042970688927738046,-0.024950535029717676,0.1555181118243176,0.986553488156622,-0.000588,-0.000553,-0.000795,-0.625,-0.775,-9.827,4.673e-05,-1.204e-05,3.333e-05
50%,0.04304133744724465,-0.0241070598541872,0.1556391363229149,0.9865769820254902,-2.4e-05,3.3e-05,-8e-06,-0.602,-0.765,-9.813,4.6920000000000005e-05,-1.181e-05,3.354e-05
75%,0.043166421941573975,-0.023248857227906948,0.1557878255293752,0.9866019041026857,0.000541,0.000612,0.0007927499999999999,-0.578,-0.755,-9.8,4.711e-05,-1.151e-05,3.375000000000001e-05
max,0.0434848271654936,-0.0218153162881155,0.15645517691414,0.986727708866374,0.02099,0.018063,0.003545,-0.492,-0.631,-9.588,4.778e-05,-9.8e-06,3.53e-05
