latitude,longitude,utm_northing,utm_easting,altitude
42.3372666666667,-71.0869766666667,,,44.6
42.3372666666667,-71.0869766666667,4689332.97868422,328073.636858289,44.7
42.3372666666667,-71.0869766666667,4689332.97868422,328073.636858289,44.7
42.3372666666667,-71.0869766666667,4689332.97868422,328073.636858289,44.7
42.3372666666667,-71.0869766666667,4689332.97868422,328073.636858289,44.7
42.3372683333333,-71.08698,4689332.97868422,328073.636858289,44.8
42.3372683333333,-71.0869816666667,4689333.17049459,328073.366786996,44.8
42.3372716666667,-71.0869816666667,4689333.17386446,328073.229480284,44.8
42.3372716666667,-71.08698,4689333.54400569,328073.238564557,44.8
42.3372716666667,-71.0869816666667,4689333.54063581,328073.375871261,44.9
42.3372716666667,-71.08698,4689333.54400569,328073.238564557,44.9
42.3372716666667,-71.0869816666667,4689333.54063581,328073.375871261,44.9
42.3372716666667,-71.0869816666667,4689333.54400569,328073.238564557,44.9
42.3372733333333,-71.0869816666667,4689333.54400569,328073.238564557,44.9
42.3372733333333,-71.08698,4689333.7290763,328073.243106693,44.9
42.3372733333333,-71.0869816666667,4689333.72570642,328073.380413394,44.9
42.3372733333333,-71.0869816666667,4689333.7290763,328073.243106693,44.9
42.337275,-71.08698,4689333.7290763,328073.243106693,45
42.337275,-71.08698,4689333.91077703,328073.384955527,45
42.337275,-71.08698,4689333.91077703,328073.384955527,45
42.3372766666667,-71.08698,4689333.91077703,328073.384955527,45
42.3372766666667,-71.0869783333333,4689334.09584764,328073.38949766,45
42.3372766666667,-71.0869766666667,4689334.09247777,328073.526804349,45
42.3372783333333,-71.0869683333333,4689334.08910789,328073.664111042,45
42.3372783333333,-71.0869633333333,4689334.25732918,328074.355186612,44.9
42.3372783333333,-71.0869566666667,4689334.24721961,328074.767106676,44.8
42.33728,-71.0869533333333,4689334.23374023,328075.316333428,44.8
42.33728,-71.0869533333333,4689334.41207117,328075.59548888,44.7
42.3372833333333,-71.08695,4689334.41207117,328075.59548888,44.7
42.3372866666667,-71.0869483333333,4689334.77547273,328075.879186384,44.6
42.337285,-71.08695,4689335.14224413,328076.025577192,44.6
42.3372866666667,-71.0869466666667,4689334.96054334,328075.883728453,44.5
42.337285,-71.0869416666667,4689335.1388743,328076.162883864,44.5
42.337285,-71.086935,4689334.94369423,328076.570261823,44.4
42.3372833333333,-71.08693,4689334.93021499,328077.119488518,44.3
42.3372816666667,-71.0869283333333,4689334.73503498,328077.526866513,44.3
42.3372816666667,-71.0869333333333,4689334.54659457,328077.659631168,44.2
42.337285,-71.0869416666667,4689334.55670397,328077.247711124,44.2
42.3372866666667,-71.08694,4689334.94369423,328076.570261823,44.2
42.3372866666667,-71.0869416666667,4689335.12539503,328076.712110542,44.2
42.3372866666667,-71.0869416666667,4689335.12876484,328076.574803873,44.2
42.3372883333333,-71.0869433333333,4689335.12876484,328076.574803873,44.1
42.337295,-71.086955,4689335.31720527,328076.442039256,44
42.3373,-71.0869666666667,4689336.08107651,328075.499060911,43.9
42.337305,-71.0869766666667,4689336.65987728,328074.551540665,43.8
42.337315,-71.0869816666667,4689337.2353083,328073.741327203,43.5
42.337325,-71.086985,4689338.3558416,328073.356660151,43.3
42.3373366666667,-71.0869833333333,4689339.47300505,328073.109299821,43.1
42.3373483333333,-71.086985,4689340.76512945,328073.278401423,42.8
42.3373616666667,-71.0869933333333,4689342.06399364,328073.172889911,42.5
42.337375,-71.0870033333333,4689343.56140801,328072.522694584,42.2
42.3373883333333,-71.0870166666667,4689345.06219238,328071.735193079,42
42.3374016666667,-71.0870266666667,4689346.56971671,328070.673079031,41.8
42.3374133333333,-71.0870383333333,4689348.07050131,328069.885578299,41.3
42.3374233333333,-71.0870516666667,4689349.38958537,328068.956229259,41.6
42.3374316666667,-71.0870616666667,4689350.52696894,328067.885031912,41.6
42.33744,-71.0870716666667,4689351.47254205,328067.083905293,41.6
42.3374483333333,-71.087085,4689352.41811525,328066.282778898,41.5
42.3374583333333,-71.0870966666667,4689353.37042864,328065.207040083,41.3
42.3374683333333,-71.0871116666667,4689354.50444276,328064.273150269,41.2
42.3374766666667,-71.08713,4689355.64519719,328063.064648211,41.1
42.3374816666667,-71.0871466666667,4689356.60762146,328061.576991563,41
42.3374866666667,-71.0871633333333,4689357.19653468,328060.217556529,41
42.3374933333333,-71.0871766666667,4689357.78544816,328058.858121713,41
42.3375,-71.0871916666667,4689358.55269213,328057.777842148,41
42.337505,-71.0872116666667,4689359.3233065,328056.560256604,40.9
42.3375116666667,-71.087235,4689359.91896122,328054.926210092,40.8
42.3375166666667,-71.087255,4689360.70642754,328053.022094175,40.7
42.3375233333333,-71.08727,4689361.3020831,328051.388048247,40.5
42.3375266666667,-71.0872883333333,4689362.07269862,328050.170463848,40.4
42.3375316666667,-71.087305,4689362.47991386,328048.669181774,40.2
42.3375383333333,-71.0873166666667,4689363.06882965,328047.309748864,40
42.3375433333333,-71.08733,4689363.83270505,328046.366777446,39.9
42.33755,-71.0873383333333,4689364.4148804,328045.281957205,39.9
42.337555,-71.0873483333333,4689365.17201515,328044.613598383,39.9
42.3375616666667,-71.0873466666667,4689365.74744983,328043.803390666,39.9
42.3375633333333,-71.0873516666667,4689366.48436185,328043.958868583,39.8
42.33757,-71.08736,4689366.67954391,328043.551493328,39.8
42.3375766666667,-71.0873683333333,4689367.43667884,328042.883134919,39.9
42.3375833333333,-71.0873733333333,4689368.19381385,328042.214776662,40
42.3375933333333,-71.0873833333333,4689368.94420789,328041.821030602,39.9
42.3376033333333,-71.087385,4689370.07485478,328041.024452673,39.8
42.33761,-71.0873916666667,4689371.18864907,328040.914404932,39.9
42.3376183333333,-71.0874016666667,4689371.94241374,328040.383353232,40.1
42.3376266666667,-71.0874,4689372.88799019,328039.582232825,40.1
42.337635,-71.0874033333333,4689373.80997276,328039.742254166,40.2
42.3376483333333,-71.0874116666667,4689374.74206702,328039.490357734,40.3
42.3376566666667,-71.0874183333333,4689376.23948489,328038.840173002,40.4
42.3376683333333,-71.0874266666667,4689377.17832037,328038.313665066,40.5
42.3376733333333,-71.0874383333333,4689378.49066775,328037.658937707,40.5
42.3376783333333,-71.0874466666667,4689379.06947392,328036.711426309,40.5
42.337685,-71.08746,4689379.64153895,328036.038526707,40.6
42.3376933333333,-71.08747,4689380.40878664,328034.958252996,40.8
42.3377033333333,-71.08748,4689381.35436378,328034.157134343,40.9
42.33772,-71.0874933333333,4689382.48501165,328033.360559168,41
42.3377266666667,-71.08751,4689384.36268355,328032.307545932,41
42.3377316666667,-71.0875283333333,4689385.13667333,328030.952661936,41
42.3377366666667,-71.08755,4689385.72896351,328029.45592916,41
42.33774,-71.087575,4689386.32799563,328027.684585236,41.1
42.3377433333333,-71.0875966666667,4689386.74869925,328025.634086756,41.1
42.3377516666667,-71.087615,4689387.16266172,328023.858199851,41.1
42.3377666666667,-71.0876266666667,4689388.12509471,328022.370555155,41.1
42.3377783333333,-71.08764,4689389.81432684,328021.450307777,41.2
42.3377816666667,-71.08765,4689391.13678878,328020.38366804,41.1
42.3377833333333,-71.0876633333333,4689391.52715579,328019.568921687,41
42.3377833333333,-71.08768,4689391.73919424,328018.475020573,40.9
42.337785,-71.087695,4689391.77290425,328017.101964634,40.9
42.337785,-71.0877083333333,4689391.98831412,328015.870758025,40.9
42.3377833333333,-71.087725,4689392.01528252,328014.772313299,40.8
42.33778,-71.0877416666667,4689391.86392262,328013.394713592,40.6
42.3377816666667,-71.08776,4689391.52749236,328012.012569974,41.1
42.33778,-71.0877766666667,4689391.74964541,328010.50675223,41.2
42.33778,-71.0877916666667,4689391.59828635,328009.129152334,41.1
42.33778,-71.0878083333333,4689391.628627,328007.893401916,41
42.3377783333333,-71.0878266666667,4689391.66233908,328006.520345894,41
42.3377783333333,-71.087845,4689391.51435205,328005.005440246,41.1
42.337775,-71.0878633333333,4689391.55143598,328003.495078577,41.5
42.3377766666667,-71.0878833333333,4689391.21837896,328001.975628708,41.8
42.3377766666667,-71.0879,4689391.44390552,328000.332505486,41.7
42.3377783333333,-71.0879166666667,4689391.47761909,327998.959449384,41.4
42.33778,-71.0879333333333,4689391.69640356,327997.590937498,41.8
42.337785,-71.0879483333333,4689391.9151883,327996.222425683,41.5
42.3377916666667,-71.0879683333333,4689392.50074314,327995.000308116,41.6
42.3377983333333,-71.0879833333333,4689393.28148326,327993.370818327,40.9
42.337805,-71.0880016666667,4689394.05210924,327992.153245582,40.5
42.3378083333333,-71.088015,4689394.82947851,327990.661061999,40.2
42.3378133333333,-71.08803,4689395.22659215,327989.571706475,39.9
42.3378183333333,-71.0880433333333,4689395.81214818,327988.349589994,39.5
42.3378266666667,-71.0880566666667,4689396.39433283,327987.264779236,39.2
42.3378316666667,-71.0880666666667,4689397.34665892,327986.189057702,38.9
42.3378383333333,-71.0880783333333,4689397.92210063,327985.378858334,38.8
42.3378416666667,-71.0880866666667,4689398.68598474,327984.43589819,38.6
42.3378466666667,-71.088095,4689399.07298435,327983.758459988,38.5
