latitude,longitude,utm_northing,utm_easting,altitude
42.337165,-71.0868683333333,,,53.5
42.337165,-71.0868683333333,4689321.47034111,328082.284739702,53.5
42.337165,-71.0868683333333,4689321.47034111,328082.284739702,53.5
42.337165,-71.0868683333333,4689321.47034111,328082.284739702,53.5
42.337165,-71.0868683333333,4689321.47034111,328082.284739702,53.5
42.337165,-71.0868683333333,4689321.47034111,328082.284739702,53.5
42.337165,-71.0868683333333,4689321.47034111,328082.284739702,53.5
42.337165,-71.0868683333333,4689321.47034111,328082.284739702,53.5
42.337165,-71.0868683333333,4689321.47034111,328082.284739702,53.5
42.337165,-71.0868666666667,4689321.47034111,328082.284739702,53.5
42.337165,-71.0868666666667,4689321.46697141,328082.422046636,53.5
42.337165,-71.0868666666667,4689321.46697141,328082.422046636,53.5
42.337165,-71.0868666666667,4689321.46697141,328082.422046636,53.5
42.337165,-71.0868666666667,4689321.46697141,328082.422046636,53.5
42.337165,-71.0868666666667,4689321.46697141,328082.422046636,53.5
42.337165,-71.0868666666667,4689321.46697141,328082.422046636,53.5
42.337165,-71.0868666666667,4689321.46697141,328082.422046636,53.4
42.337165,-71.0868666666667,4689321.46697141,328082.422046636,53.4
42.337165,-71.086865,4689321.46697141,328082.422046636,53.4
42.337165,-71.086865,4689321.46360172,328082.559353569,53.4
42.337165,-71.086865,4689321.46360172,328082.559353569,53.4
42.337165,-71.086865,4689321.46360172,328082.559353569,53.4
42.337165,-71.086865,4689321.46360172,328082.559353569,53.4
42.337165,-71.086865,4689321.46360172,328082.559353569,53.4
42.337165,-71.086865,4689321.46360172,328082.559353569,53.4
42.337165,-71.086865,4689321.46360172,328082.559353569,53.3
42.337165,-71.086865,4689321.46360172,328082.559353569,53.3
42.337165,-71.0868633333333,4689321.46360172,328082.559353569,53.3
42.337165,-71.0868633333333,4689321.46023203,328082.696660505,53.3
42.337165,-71.0868633333333,4689321.46023203,328082.696660505,53.3
42.337165,-71.0868633333333,4689321.46023203,328082.696660505,53.3
42.337165,-71.0868633333333,4689321.46023203,328082.696660505,53.2
42.337165,-71.0868633333333,4689321.46023203,328082.696660505,53.2
42.337165,-71.0868616666667,4689321.46023203,328082.696660505,53.2
42.337165,-71.0868616666667,4689321.45686234,328082.83396744,53.2
42.337165,-71.0868616666667,4689321.45686234,328082.83396744,53.2
42.337165,-71.0868616666667,4689321.45686234,328082.83396744,53.2
42.337165,-71.08686,4689321.45686234,328082.83396744,53.2
42.337165,-71.08686,4689321.45349266,328082.971274372,53.2
42.337165,-71.08686,4689321.45349266,328082.971274372,53.2
42.337165,-71.08686,4689321.45349266,328082.971274372,53.2
42.337165,-71.08686,4689321.45349266,328082.971274372,53.1
42.337165,-71.0868583333333,4689321.45349266,328082.971274372,53.1
42.337165,-71.0868583333333,4689321.45012298,328083.108581307,53.1
42.337165,-71.0868583333333,4689321.45012298,328083.108581307,53.1
42.337165,-71.0868583333333,4689321.45012298,328083.108581307,53.1
42.337165,-71.0868583333333,4689321.45012298,328083.108581307,53.1
42.337165,-71.0868583333333,4689321.45012298,328083.108581307,53.1
42.337165,-71.0868583333333,4689321.45012298,328083.108581307,53.1
42.3371666666667,-71.0868583333333,4689321.45012298,328083.108581307,53.1
42.337165,-71.0868566666667,4689321.63519359,328083.113123166,53.1
42.3371666666667,-71.0868566666667,4689321.4467533,328083.245888243,53.1
42.337165,-71.0868566666667,4689321.63182391,328083.250430098,53.1
42.3371666666667,-71.0868566666667,4689321.4467533,328083.245888243,53.1
42.337165,-71.0868566666667,4689321.63182391,328083.250430098,53.1
42.337165,-71.0868566666667,4689321.4467533,328083.245888243,53.1
42.337165,-71.086855,4689321.4467533,328083.245888243,53.1
42.337165,-71.086855,4689321.44338363,328083.383195176,53
42.3371666666667,-71.086855,4689321.44338363,328083.383195176,53
42.3371666666667,-71.086855,4689321.62845423,328083.387737028,53
42.3371666666667,-71.086855,4689321.62845423,328083.387737028,53
42.3371666666667,-71.086855,4689321.62845423,328083.387737028,53
42.3371666666667,-71.086855,4689321.62845423,328083.387737028,53
42.3371666666667,-71.0868533333333,4689321.62845423,328083.387737028,53
42.3371666666667,-71.0868533333333,4689321.62508456,328083.525043957,53
42.3371666666667,-71.0868533333333,4689321.62508456,328083.525043957,53
42.3371666666667,-71.0868533333333,4689321.62508456,328083.525043957,53.1
42.3371666666667,-71.0868533333333,4689321.62508456,328083.525043957,53
42.3371666666667,-71.0868516666667,4689321.62508456,328083.525043957,53
42.3371666666667,-71.0868516666667,4689321.62171489,328083.662350889,53
42.3371666666667,-71.0868516666667,4689321.62171489,328083.662350889,53
42.3371666666667,-71.0868516666667,4689321.62171489,328083.662350889,53
42.3371666666667,-71.0868516666667,4689321.62171489,328083.662350889,53
42.3371666666667,-71.0868516666667,4689321.62171489,328083.662350889,53
42.3371666666667,-71.08685,4689321.62171489,328083.662350889,53
42.3371666666667,-71.08685,4689321.61834522,328083.799657819,53
42.3371666666667,-71.08685,4689321.61834522,328083.799657819,53
42.3371666666667,-71.08685,4689321.61834522,328083.799657819,53
42.3371666666667,-71.08685,4689321.61834522,328083.799657819,53
42.3371666666667,-71.08685,4689321.61834522,328083.799657819,53
42.3371666666667,-71.08685,4689321.61834522,328083.799657819,53
42.3371666666667,-71.08685,4689321.61834522,328083.799657819,53
42.3371666666667,-71.0868483333333,4689321.61834522,328083.799657819,53
42.3371666666667,-71.0868483333333,4689321.61497556,328083.936964749,53
42.3371666666667,-71.0868483333333,4689321.61497556,328083.936964749,53
42.3371666666667,-71.0868483333333,4689321.61497556,328083.936964749,53
