latitude,longitude,utm_northing,utm_easting,altitude
42.340305,-71.0888366666667,,,11.2
42.340295,-71.0888333333333,4689674.12497885,327928.69048138,11.3
42.340285,-71.0888366666667,4689673.00780873,327928.93780298,11.3
42.34028,-71.0888416666667,4689671.90413024,327928.635924063,11.4
42.3402733333333,-71.08885,4689671.35903684,327928.210384244,11.4
42.3402666666667,-71.08886,4689670.63561861,327927.505697541,11.4
42.3402616666667,-71.0888716666667,4689669.91557339,327926.663710503,11.5
42.340255,-71.0888816666667,4689669.38397195,327925.6889696,11.5
42.3402466666667,-71.0888916666667,4689668.66392694,327924.846982224,11.5
42.34024,-71.0889016666667,4689667.75881131,327924.000448112,11.6
42.3402333333333,-71.0889133333333,4689667.0387665,327923.15846037,11.6
42.34023,-71.0889266666667,4689666.32209481,327922.179172188,11.6
42.340225,-71.0889366666667,4689665.97893775,327921.07167679,11.7
42.34022,-71.0889466666667,4689665.44396399,327920.234235182,11.7
42.3402133333333,-71.0889533333333,4689664.90899032,327919.396793445,11.7
42.3402083333333,-71.0889633333333,4689664.18219984,327918.829405501,11.7
42.340205,-71.0889766666667,4689663.64722633,327917.991963505,11.7
42.3402,-71.0889883333333,4689663.30406991,327916.884467455,11.7
42.3401933333333,-71.089,4689662.77246979,327915.909724859,11.7
42.340185,-71.08901,4689662.05579909,327914.930435322,11.7
42.34018,-71.08902,4689661.1506846,327914.083899136,11.8
42.3401733333333,-71.0890316666667,4689660.61571165,327913.246456405,11.8
42.3401683333333,-71.0890433333333,4689659.8990413,327912.26716629,11.8
42.3401616666667,-71.089055,4689659.3674418,327911.292422856,11.8
42.3401566666667,-71.0890683333333,4689658.65077171,327910.313132363,11.8
42.3401483333333,-71.08908,4689658.12254576,327909.201088169,11.8
42.34014,-71.0890933333333,4689657.22080524,327908.217250323,11.8
42.340135,-71.089105,4689656.32243818,327907.096111753,11.8
42.3401283333333,-71.089115,4689655.79083937,327906.121367412,11.8
42.3401216666667,-71.089125,4689655.07079662,327905.27937638,11.8
42.340115,-71.0891366666667,4689654.35075397,327904.437385175,11.8
42.34011,-71.0891483333333,4689653.6340848,327903.45809327,11.7
42.340105,-71.08916,4689653.10248649,327902.483348269,11.7
42.3400983333333,-71.0891716666667,4689652.5708883,327901.508603117,11.7
42.3400933333333,-71.089185,4689651.85421954,327900.529310657,11.7
42.340085,-71.0892,4689651.32599508,327899.417264603,11.7
42.34008,-71.0892133333333,4689650.43100287,327898.158823357,11.7
42.3400733333333,-71.0892266666667,4689649.90277879,327897.046776887,11.7
42.3400666666667,-71.08924,4689649.18948416,327895.93018297,11.7
42.34007,-71.0892566666667,4689648.4761897,327894.81358882,11.8
42.3400683333333,-71.08927,4689648.88006688,327893.449677175,11.9
42.340065,-71.0892816666667,4689648.72198496,327892.34672481,12
42.3400633333333,-71.089295,4689648.37545886,327891.376525623,12.2
42.3400583333333,-71.0893066666667,4689648.21737726,327890.273573111,12.3
42.3400533333333,-71.0893166666667,4689647.68578073,327889.298826292,12.4
42.3400483333333,-71.0893266666667,4689647.15081065,327888.461379984,12.4
